wavenumber_cm,absorption,cd
17704.8920,1.68945920e-03,-9.90101447e+01
17705.3421,1.69170471e-03,-9.91946814e+01
17705.7922,1.69395473e-03,-9.93796778e+01
17706.2423,1.69620929e-03,-9.95651350e+01
17706.6924,1.69846838e-03,-9.97510546e+01
17707.1425,1.70073202e-03,-9.99374381e+01
17707.5926,1.70300023e-03,-1.00124287e+02
17708.0428,1.70527302e-03,-1.00311602e+02
17708.4929,1.70755039e-03,-1.00499386e+02
17708.9430,1.70983236e-03,-1.00687639e+02
17709.3931,1.71211895e-03,-1.00876364e+02
17709.8432,1.71441016e-03,-1.01065561e+02
17710.2933,1.71670601e-03,-1.01255232e+02
17710.7434,1.71900651e-03,-1.01445378e+02
17711.1935,1.72131168e-03,-1.01636002e+02
17711.6437,1.72362152e-03,-1.01827104e+02
17712.0938,1.72593605e-03,-1.02018687e+02
17712.5439,1.72825528e-03,-1.02210751e+02
17712.9940,1.73057923e-03,-1.02403297e+02
17713.4441,1.73290790e-03,-1.02596329e+02
17713.8942,1.73524132e-03,-1.02789847e+02
17714.3443,1.73757949e-03,-1.02983852e+02
17714.7944,1.73992242e-03,-1.03178347e+02
17715.2446,1.74227014e-03,-1.03373332e+02
17715.6947,1.74462264e-03,-1.03568810e+02
17716.1448,1.74697995e-03,-1.03764781e+02
17716.5949,1.74934208e-03,-1.03961248e+02
17717.0450,1.75170905e-03,-1.04158212e+02
17717.4951,1.75408085e-03,-1.04355674e+02
17717.9452,1.75645752e-03,-1.04553637e+02
17718.3953,1.75883905e-03,-1.04752101e+02
17718.8455,1.76122548e-03,-1.04951069e+02
17719.2956,1.76361680e-03,-1.05150542e+02
17719.7457,1.76601303e-03,-1.05350521e+02
17720.1958,1.76841419e-03,-1.05551008e+02
17720.6459,1.77082029e-03,-1.05752005e+02
17721.0960,1.77323134e-03,-1.05953513e+02
17721.5461,1.77564735e-03,-1.06155534e+02
17721.9962,1.77806835e-03,-1.06358070e+02
17722.4464,1.78049434e-03,-1.06561122e+02
17722.8965,1.78292534e-03,-1.06764692e+02
17723.3466,1.78536136e-03,-1.06968782e+02
17723.7967,1.78780241e-03,-1.07173393e+02
17724.2468,1.79024852e-03,-1.07378527e+02
17724.6969,1.79269969e-03,-1.07584185e+02
17725.1470,1.79515593e-03,-1.07790370e+02
17725.5971,1.79761727e-03,-1.07997082e+02
17726.0473,1.80008371e-03,-1.08204324e+02
