time_ps,phase,k_pull,r0_pull_ang,alpha_deg,cos_alpha,linker_e2e_ang,cr2_sep_ang,triple_product_ang,potential_kj_mol,temperature_k
50610.0,control,0.0,0.0,105.04618139272041,-0.2595975139262412,53.10972274385344,26.488356373314847,-5.224982384790694,-1174959.9553887863,301.90156369877184
50620.0,control,0.0,0.0,105.37910625034887,-0.26520452825275026,53.6247263963418,26.267353333100655,-5.4581830584532165,-1174261.6825755425,300.74233748470004
50630.0,control,0.0,0.0,112.83488417571255,-0.3880767851865564,52.730274751890526,26.799051268232084,-4.869872578155574,-1174483.6625393834,300.891776035885
50640.0,control,0.0,0.0,108.69737327502077,-0.3205695653941198,52.924698877219576,26.744171346307414,-4.142594960378586,-1174921.136881549,300.5432946252516
50650.0,control,0.0,0.0,110.16731229104161,-0.3447627249191402,52.95079716710008,26.674964269547743,-4.3118270901938756,-1174745.2450008653,300.7404973692438
50660.0,control,0.0,0.0,103.74625702079314,-0.23762243665356142,52.6505551908173,26.319557416344043,-5.1879510960828625,-1174343.2010200936,300.6661058556929
50670.0,control,0.0,0.0,106.4150634117148,-0.2825936566077689,52.56594195483178,26.322324084071305,-5.500033161931344,-1174722.870148575,301.9454518880538
50680.0,control,0.0,0.0,104.93288306426604,-0.2576873711518838,52.580504621569574,26.72796670753431,-4.936386511584078,-1174551.7829549424,300.26632131255957
50690.0,control,0.0,0.0,105.39738418776196,-0.26551210188156804,53.033558681402646,26.820332791659837,-4.256946632448704,-1174762.8798695449,298.98526853791077
50700.0,control,0.0,0.0,104.19139509335704,-0.24516178797824995,53.10211078944617,26.746801020943415,-5.989185045819758,-1175197.4750014152,301.4863013573261
50710.0,control,0.0,0.0,109.81683987322486,-0.3390144410378518,52.726374936365445,26.320860558909622,-5.073613813706067,-1175109.5515957735,298.5505088823885
50720.0,control,0.0,0.0,105.2699520569308,-0.26336716551109207,53.24340658925929,26.40075249608739,-3.571123968882831,-1172900.1064643376,301.2604148263094
50730.0,control,0.0,0.0,108.34479487043099,-0.31473463783578537,52.781920607856286,26.085755114014216,-5.322550910672333,-1174614.3478559032,300.0325319974617
50740.0,control,0.0,0.0,112.82472861061537,-0.387913422496426,53.64158717772006,26.62450275705174,-3.6841190664025296,-1174136.6969098952,300.90055892184466
50750.0,control,0.0,0.0,105.10536017998965,-0.2605948301601623,53.05948513059914,26.68908632042762,-4.140907394963066,-1174167.1488433518,300.8777480658244
50760.0,control,0.0,0.0,104.69318221541344,-0.25364284490121336,52.76966591744786,26.442423115939857,-5.334813033874687,-1173236.2736972664,301.10835299122596
50770.0,control,0.0,0.0,103.6299179587733,-0.23564960687186154,52.801329334104985,26.608195527658413,-3.5790850544188038,-1174094.6666762084,301.5648053490959
50780.0,control,0.0,0.0,103.55929831595319,-0.2344515937316637,53.47782361331752,26.69267703023322,-4.43999242111808,-1175069.1297224294,298.89869386260347
50790.0,control,0.0,0.0,106.97895648533058,-0.2920204547227339,53.08922005610051,26.477538490252396,-5.228285337204365,-1174516.954394916,300.64844269200205
50800.0,control,0.0,0.0,113.2100303540202,-0.3941028098702929,53.05634026451123,26.29593918033626,-5.764095641415786,-1175793.1136814225,300.6000756535293
50810.0,control,0.0,0.0,104.9551784348301,-0.2580633377740805,52.618027789535205,26.56822276492854,-4.5459470255245185,-1175645.2149964795,301.4418791147997
50820.0,control,0.0,0.0,109.82430267067816,-0.33913697527316056,52.219813456573924,26.856793374536977,-5.2326905994168476,-1174002.3895907067,300.1578793093461
50830.0,control,0.0,0.0,103.96112010714619,-0.24126341459746453,52.5342943261692,26.65614293277811,-4.6615613196401915,-1174461.594031239,301.0762034698293
50840.0,control,0.0,0.0,104.50663462369226,-0.25049211002688554,53.30608207329742,26.41659940086568,-4.437273535741009,-1173196.7887533773,299.10104296776916
50850.0,control,0.0,0.0,104.15025221977201,-0.2444655604166183,52.907746935815894,26.793848377534882,-5.735717795334069,-1175592.6745874211,299.84247037327253
50860.0,control,0.0,0.0,106.6220919479529,-0.2860578535228694,53.681439175095186,26.640983183319236,-5.3873736721974765,-1172955.9283171762,299.8084949454817
50870.0,control,0.0,0.0,103.30059727655134,-0.2300598820226756,53.11473013631908,26.536396326624754,-4.967071451187159,-1173100.6270041633,300.42592534068336
50880.0,control,0.0,0.0,103.71845711044375,-0.23715110602819142,52.92398374752852,26.464408347042596,-4.870742665849303,-1174143.765499156,300.67315596325267
50890.0,control,0.0,0.0,107.67996655171841,-0.30369994461018357,53.717761468653066,26.683018341337938,-5.669561053936493,-1173287.0837056022,300.85351188153317
50900.0,control,0.0,0.0,112.12567473669536,-0.3766394108832424,53.37992657882879,26.24615911298315,-4.750858205589844,-1173184.8519899175,300.0278780311626
50910.0,control,0.0,0.0,108.00876192438982,-0.30916243053615733,53.12020431131159,26.278579117258424,-5.247279305209254,-1174110.570908606,299.8608941796766
50920.0,control,0.0,0.0,108.65847304294606,-0.31992638535367457,52.90691739715773,26.803744012806533,-3.789839136168549,-1174639.439587772,298.38520570733095
50930.0,control,0.0,0.0,104.97843863865143,-0.2584555327203162,53.185308904273484,26.425606879921094,-3.757923599075297,-1177152.7418327928,299.87018513144113
50940.0,control,0.0,0.0,105.64276060198085,-0.26963856668514363,52.476721331687415,26.80837523024314,-5.637163004149344,-1173591.2130818423,299.761816653477
50950.0,control,0.0,0.0,107.50340472429818,-0.30076247231476483,53.53307317512459,26.717470036975218,-5.093403818299826,-1173207.3911481872,300.7123188788026
50960.0,control,0.0,0.0,105.27891491682618,-0.2635180709973608,53.13293836706824,26.947282375048335,-4.53537526939212,-1174815.1588978916,298.14138406047533
50970.0,control,0.0,0.0,109.57177247896962,-0.33498741203713644,52.94226273077506,26.505295173002313,-4.015057342137893,-1174477.9895783365,300.8262172141473
50980.0,control,0.0,0.0,105.34455772525621,-0.26462308615767316,53.332506849589016,26.515382905205612,-4.01616803988084,-1173976.537128292,300.93192065183035
50990.0,control,0.0,0.0,113.28711596792942,-0.39533896264634855,53.53521160616206,26.349587467642365,-5.1300487251088285,-1173636.907395471,299.5156144416984
51000.0,control,0.0,0.0,105.4158195791496,-0.2658222977104988,53.57234401584151,26.504446169201525,-4.869454410344482,-1174966.2968820333,301.0719817247183
51010.0,control,0.0,0.0,106.16248978520814,-0.27836236434573297,53.32871222455173,25.92713967632946,-4.339688537476271,-1174533.1284466647,301.37008124022674
51020.0,control,0.0,0.0,105.44691990591414,-0.2663455326802511,53.46472580086599,26.462376515325516,-5.23836364195872,-1173323.843706943,299.2120391076468
51030.0,control,0.0,0.0,105.82911148544999,-0.2727691064376,52.902189392946376,26.227610340163704,-4.452433540338735,-1173547.8975222446,300.7480449369794
51040.0,control,0.0,0.0,107.81864750926538,-0.30600516921268883,53.29358463262267,26.09091417777607,-5.408997065089179,-1173453.3471828252,302.0875475463074
51050.0,control,0.0,0.0,102.57575230929315,-0.21773021191075723,52.568227423213116,26.722051790708843,-4.604941157148768,-1173770.702754397,299.30970940534354
51060.0,control,0.0,0.0,105.9037230836374,-0.27402171212950477,52.877856457575035,26.35984046763544,-5.7534636727978175,-1173825.6958345417,300.0420337940118
51070.0,control,0.0,0.0,102.52446804181749,-0.21685651934045272,52.15501705039504,26.32838551691274,-4.812122057712258,-1173859.6080515794,300.3681243961876
51080.0,control,0.0,0.0,103.66137615586325,-0.23618315816742122,53.0404000126849,26.337293660987967,-4.574389176099511,-1174684.335200457,299.3366796775997
51090.0,control,0.0,0.0,106.50240339025912,-0.284055564135675,53.196573032462105,26.273270198555867,-6.385555562758402,-1175278.7848715317,300.66269987379417
51100.0,control,0.0,0.0,107.83103318111678,-0.3062109630718236,52.894372240016835,26.324981943227144,-6.90759568636961,-1174076.8806159645,299.7232203327221
51110.0,control,0.0,0.0,112.7015775560995,-0.3859314429248718,53.29925785528032,26.136557950136783,-5.647841599357532,-1174036.9122016896,300.19856151876354
51120.0,control,0.0,0.0,104.93789845837843,-0.2577719490986877,53.32650128395634,26.412286983189965,-4.704281329335023,-1174648.1508026998,300.56446272117654
51130.0,control,0.0,0.0,100.88554417442897,-0.18884768707006552,52.12549160138309,26.235372219907276,-5.875294992827028,-1173580.1740724836,302.1132009730647
51140.0,control,0.0,0.0,106.02458240219185,-0.27604975385980934,52.3811220090013,26.583027551610012,-4.3777098863871755,-1176291.3814338464,299.6327927194193
51150.0,control,0.0,0.0,104.56123053807802,-0.2514144955703614,52.12077871808515,26.22575807108185,-5.477614218326817,-1174655.5435831808,299.7034655078886
51160.0,control,0.0,0.0,111.87363167913851,-0.37256073984228494,52.9093144700626,26.5109441586584,-6.051950436481933,-1173854.8282054681,301.9360053707035
51170.0,control,0.0,0.0,103.30361135533684,-0.23011107623543103,52.37619331233237,26.112540269126054,-5.785039322604662,-1173800.7893245388,301.9731372945139
51180.0,control,0.0,0.0,109.38101784663888,-0.3318486229795531,52.43431376417612,26.36634688687793,-5.773153381655193,-1173113.8599284533,300.5406290548376
51190.0,control,0.0,0.0,106.1025661999811,-0.27735768501484537,53.24759118642134,25.996486178809015,-4.137457007458595,-1173992.9994074907,299.22433938761327
51200.0,control,0.0,0.0,105.82160230043343,-0.2726430139500494,52.091846962370035,26.50873482619296,-4.538390336521481,-1174677.8335466553,299.310484448534
51210.0,control,0.0,0.0,102.8259998275116,-0.2219909805983346,51.61869406067162,26.756681859143956,-5.726566754972433,-1174263.3921104595,301.31132410690867
51220.0,control,0.0,0.0,105.61637003642403,-0.26919499580858314,52.08403444381078,26.456423085696184,-3.4969016673502438,-1173909.6052575242,299.30049006399554
51230.0,control,0.0,0.0,108.49248087636292,-0.3171802018745232,51.99681127307665,26.394053466561875,-4.683964566435422,-1174040.8823745083,298.3540839437169
51240.0,control,0.0,0.0,107.85350760996164,-0.30658434990544114,51.45312881493159,26.66180014125764,-4.028584482087777,-1174191.1139963064,300.12288207385507
51250.0,control,0.0,0.0,98.75982081293841,-0.1522927945740418,51.171033396932025,26.477771395639905,-4.518030035915398,-1172002.5545089822,300.14636447505796
51260.0,control,0.0,0.0,105.86510078586994,-0.27337336532016254,51.80915251602322,26.61530110661808,-4.77662243372111,-1173779.435384646,299.60590268465234
51270.0,control,0.0,0.0,106.26166304530004,-0.28002443458006276,52.1759915955158,26.068160763457126,-5.287165960845811,-1175432.273355268,300.5349007886884
51280.0,control,0.0,0.0,105.40107344748428,-0.2655741799536201,52.03770513626023,26.075686434456784,-7.005199155531435,-1173680.4154730923,301.8499787664262
51290.0,control,0.0,0.0,103.6888941282919,-0.23664982233864992,51.758976391961376,26.149358683912855,-4.687693837083561,-1173580.0657969713,299.5585624706278
51300.0,control,0.0,0.0,103.2865010819242,-0.22982044931233953,52.167133469803325,25.805625271390593,-5.957442019427366,-1174382.6686154548,301.006136655787
51310.0,control,0.0,0.0,100.04459916972323,-0.17441470165640494,51.63001120742038,26.379602675163937,-5.983316765965175,-1177543.0084260795,300.5265481361862
51320.0,control,0.0,0.0,108.24633406973966,-0.313103041667923,51.23175291429666,26.174914831379997,-5.432557136262799,-1174610.2479975205,298.48025069093796
51330.0,control,0.0,0.0,105.37099647825694,-0.2650680516906663,52.6133392312168,26.358029307869526,-5.559806400125153,-1175142.5313940812,301.70033536176123
51340.0,control,0.0,0.0,103.86951458497673,-0.23971151853843892,52.26048241344638,26.53801248279023,-6.041512397245279,-1174175.5347302929,301.8398701422404
51350.0,control,0.0,0.0,106.0281182920669,-0.27610906829688076,51.91865881822755,26.32872234390835,-4.782767427945155,-1174802.204064453,299.8297991186847
51360.0,control,0.0,0.0,107.15044132051277,-0.2948816599218563,51.93859325738822,26.182566791452622,-6.46692746163088,-1171893.836895164,300.7508489262477
51370.0,control,0.0,0.0,106.10979342309287,-0.27747887280828354,51.35900467293944,26.348481632830303,-5.156738536710225,-1174634.7892259099,301.0492561297269
51380.0,control,0.0,0.0,105.44210314362653,-0.26626450012763153,51.888667073727746,26.741810957409488,-6.697976123788169,-1175783.4721900318,299.16751450990006
