wavenumber_cm-1,wavelength_nm,published_fit_reconstruction_normalized,resonant_corrected_J,100_cm-1_detuning,constrained_fit_gap,unconstrained_fit_gap,corrected_charge_smoke_diagnostic
20160.0,496.031746031746,-0.24999107681246668,-0.14793005070529178,-0.1699125157613903,-0.20030195166961445,-0.2204731623316412,-0.6854922677900588
20162.5,495.9702417854929,-0.2494243906650915,-0.14733169930955828,-0.1691262160464738,-0.19922317010145624,-0.2192216881837643,-0.687619670098328
20165.0,495.90875278948675,-0.2488653586488854,-0.14673576074754882,-0.168344118745761,-0.19815140780208068,-0.21797866612617545,-0.6897152392798925
20167.5,495.8472790380563,-0.24831394877025412,-0.14614223918294483,-0.16756620937790323,-0.1970866226883277,-0.21674404462590774,-0.6917783395428646
20170.0,495.785820525533,-0.24777012887212096,-0.1455511383354017,-0.1667924732174291,-0.1960287726765462,-0.21551777212429202,-0.6938083396685991
20172.5,495.7243772462511,-0.24723386663900326,-0.14496246149260913,-0.16602289530485734,-0.19497781569167405,-0.21429979704930183,-0.6958046134623375
20175.0,495.6629491945477,-0.2467051296017575,-0.1443762115220715,-0.1652574604565411,-0.1939337096760142,-0.21309006782749268,-0.6977665402067124
20177.5,495.60153636476275,-0.24618388514199993,-0.14379239088261686,-0.16449615327425154,-0.19289641259771703,-0.2118885328955507,-0.6996935051175899
20180.0,495.5401387512388,-0.245670100496208,-0.1432110016356396,-0.1637389581545027,-0.19186588245897648,-0.21069514071145612,-0.7015848998016926
20182.5,495.47875634832155,-0.2451637427595113,-0.14263204545608277,-0.16298585929762976,-0.19084207730394617,-0.20950983976527285,-0.7034401227154542
20185.0,495.41738915035916,-0.24466477888917582,-0.1420555236431649,-0.16223684071662142,-0.18982495522638484,-0.20833257858957455,-0.7052585796245268
20187.5,495.35603715170276,-0.24417317570779,-0.14148143713085806,-0.16149188624571428,-0.18881447437703633,-0.2071633057695154,-0.7070396840633537
20190.0,495.2947003467063,-0.24368889990615655,-0.1409097864981226,-0.16075097954875583,-0.18781059297075145,-0.20600196995255413,-0.7087828577942125
20192.5,495.2333787297264,-0.24321191804589778,-0.14034057197890307,-0.16001410412733993,-0.1868132692933604,-0.2048485198578416,-0.7104875312651152
20195.0,495.1720722951226,-0.24274219656177873,-0.1397737934718907,-0.15928124332872098,-0.1858224617082989,-0.20370290428527932,-0.7121531440659492
20197.5,495.1107810372571,-0.24227970176375463,-0.13920945055005793,-0.1585523803535121,-0.18483812866299845,-0.20256507212425906,-0.7137791453822334
20200.0,495.0495049504951,-0.24182439983874832,-0.13864754246997069,-0.15782749826317263,-0.18386022869504304,-0.2014349723620894,-0.7153649944458481
20202.5,494.9882440292043,-0.24137625685216263,-0.13808806818088157,-0.1571065799872889,-0.18288872043810242,-0.20031255409212032,-0.7169101609821064
20205.0,494.9269982677555,-0.24093523874913275,-0.1375310263336104,-0.15638960833065577,-0.1819235626276449,-0.1991977665215703,-0.7184141256525161
20207.5,494.86576766052207,-0.2405013113555256,-0.1369764152892148,-0.15567656598016064,-0.1809647141064378,-0.19809055897906785,-0.7198763804925892
20210.0,494.80455220188026,-0.24007444037868872,-0.13642423312746,-0.15496743551147707,-0.18001213382983844,-0.19699088092191075,-0.7212964293440407
20212.5,494.74335188620904,-0.23965459140795597,-0.13587447765508506,-0.15426219939557112,-0.17906578087088618,-0.1958986819430549,-0.7226737882807349
20215.0,494.6821667078902,-0.23924172991491421,-0.13532714641387658,-0.15356084000502646,-0.1781256144251944,-0.19481391177783497,-0.7240079860277283
20217.5,494.62099666130825,-0.23883582125343486,-0.13478223668855155,-0.1528633396201913,-0.17719159381565452,-0.19373652031042904,-0.7252985643727545
20220.0,494.55984174085063,-0.23843683065947743,-0.13423974551445278,-0.15216968043515178,-0.1762636784969518,-0.19266645758007042,-0.7265450785695206
20222.5,494.4987019409074,-0.23804472325066706,-0.1336996696850624,-0.1514798445635362,-0.17534182805990176,-0.19160367378701557,-0.7277470977321702
20225.0,494.4375772558715,-0.23765946402565288,-0.1331620057593371,-0.15079381404415487,-0.17442600223561056,-0.19054811929827406,-0.728904205220285
20227.5,494.37646768013843,-0.23728101786325076,-0.1326267500688692,-0.15011157084647928,-0.17351616089946365,-0.18949974465310587,-0.7300159990138052
20230.0,494.3153732081068,-0.23690934952137466,-0.13209389872487678,-0.14943309687596198,-0.17261226407494898,-0.1884585005682955,-0.7310820920772616
20232.5,494.2542938341777,-0.23654442363576203,-0.13156344762502736,-0.14875837397920624,-0.17171427193731878,-0.18742433794320473,-0.7321021127127114
20235.0,494.1932295527551,-0.23618620471849655,-0.1310353924600985,-0.14808738394898474,-0.17082214481709357,-0.18639720786461456,-0.7330757049008049
